ExcerptPostId,WikiPostId,Id,IsModeratorOnly,TagName,Count,IsRequired
,,1,,bug,26,True
,,2,,feature-request,41,True
,,3,,discussion,675,True
,,4,True,faq,2,
,,5,True,status-completed,25,
,,6,True,status-declined,1,
4357,4356,7,True,status-bydesign,4,
4359,4358,8,True,status-norepro,2,
4366,4365,9,True,status-reproduced,0,
4351,4350,10,True,status-planned,0,
4349,4348,11,True,status-deferred,0,
4150,4149,12,True,status-review,0,
4353,4352,13,,support,88,True
,,14,,reputation,3,
2219,2218,15,,questions,40,
,,16,,tags,64,
,,17,,comments,17,
,,18,,badges,1,
,,19,,answers,19,
,,20,,search,1,
,,21,,voting,6,
,,22,,editing,16,
,,23,,bounty,5,
,,24,,user-interface,0,
,,25,,specific-question,10,
,,26,,accepted-answer,4,
,,27,,markdown,0,
,,28,,stackexchange,0,
,,29,,community-wiki,5,
,,30,,down-votes,14,
,,31,,openid,0,
,,32,,migration,5,
,,33,,vote-to-close,8,
,,34,,exact-duplicates,2,
,,35,,etiquette,3,
,,36,,notifications,0,
,,37,,users,1,
,,38,,closed-questions,27,
,,39,,hyperlinks,1,
,,40,,data-dump,0,
,,41,,asking-questions,22,
,,42,,recent-activity,0,
,,43,,new-users,2,
,,44,,profile-page,0,
,,45,,flagging,7,
,,46,,chat,4,
,,47,,unanswered-questions,1,
,,48,,retagging,4,
,,49,,moderation,18,
,,50,,data-explorer,0,
,,51,,close-reasons,35,
,,52,,user-accounts,2,
,,53,,formatting,0,
,,55,,up-votes,0,
,,56,,meta,3,
,,57,,statistics,5,
,,58,,login,0,
,,59,,rss,0,
,,60,,bookmarks,0,
,,61,,deleted-questions,4,
,,62,,tagging,11,
,,63,,votes,1,
,,64,,tag-synonyms,21,
,,65,,design,1,
,,66,True,featured,0,
,,67,True,community-ads,1,
,,69,,references,11,
,,70,,off-topic,32,
,,71,,research,6,
,,74,,site-promotion,3,
216,215,77,,pledges,3,
,,78,,source,9,
,,79,,scope,11,
,,84,,tag-merge,13,
,,93,,reopen-closed,12,
,,95,,site-evaluation,8,
,,97,,uk-english,2,
,,98,,american-english,2,
,,100,,review,3,
,,101,,deleted-answers,8,
853,852,105,,ragequit,2,
,,106,,challenge,5,
3855,3854,112,,winterbash,3,
,,118,,hot-network-questions,2,
4061,4060,121,True,product-discovery,0,
4431,4430,122,,site-policy,12,
,,128,,election,6,
4434,4433,133,,approved-site-policy,7,
4439,4438,134,,on-topic,2,
